g-force,time,trot,canter
3725,665408,,
3857,665434,,
3797,665458,,
3770,665484,,
3833,665509,,
3824,665535,,
3775,665560,,
3726,665585,,
3772,665611,,
3733,665636,,
3708,665661,,
3640,665687,,
3630,665712,,
3658,665738,,
3714,665762,,
3643,665792,,
3695,665818,,
3695,665867,,
3745,666004,,
3773,666030,,
3742,666056,,
3794,666082,,
3773,666106,,
3737,666132,,
3726,666158,,
3693,666183,,
3745,666208,,
3669,666233,,
3677,666259,,
3726,666284,,
3727,666309,,
3737,666335,,
3755,666360,,
3739,666385,,
3731,666415,,
3701,666439,,
3737,666465,,
3766,666490,,
3738,666516,,
3738,666541,,
3758,666566,,
3748,666592,,
3757,666616,,
3757,666642,,
3787,666668,,
3785,666693,,
3764,666718,,
3759,666743,,
3735,666769,,
3727,666795,,
3732,666819,,
3665,666869,,
3739,666999,,
3695,667025,,
3692,667052,,
3747,667077,,
3733,667102,,
3707,667127,,
3727,667153,,
3739,667179,,
3777,667203,,
3875,667229,,
3799,667254,,
3825,667279,,
3838,667304,,
3778,667330,,
3766,667356,,
3764,667380,,
3735,667406,,
3699,667431,,
3713,667460,,
3685,667486,,
3685,667511,,
3702,667536,,
3664,667561,,
3712,667587,,
3773,667612,,
3806,667637,,
3820,667663,,
3783,667744,,
3741,667768,,
3743,667794,,
3682,667820,,
3710,667845,,
3733,667870,,
3768,667917,,
3740,668048,,
3737,668075,,
3773,668105,,
3782,668130,,
3761,668155,,
3771,668181,,
3793,668206,,
3821,668231,,
3779,668257,,
3766,668282,,
3768,668307,,
3755,668333,,
3742,668358,,
3765,668384,,
3780,668408,,
3751,668434,,
3771,668460,,
3789,668485,,
3794,668510,,
3810,668535,,
3745,668561,,
3738,668590,,
3732,668622,,
3745,668648,,
3712,668674,,
3715,668698,,
3757,668724,,
3790,668749,,
3758,668774,,
3764,668800,,
3843,668825,,
3773,668875,,
3775,669016,,
3822,669065,,
3832,669092,,
3848,669117,,
3856,669143,,
3818,669168,,
3858,669193,,
3793,669222,,
3787,669247,,
3781,669273,,
3764,669298,,
3776,669324,,
3747,669348,,
3760,669374,,
3733,669400,,
3752,669425,,
3747,669450,,
3796,669475,,
3802,669501,,
3814,669527,,
3859,669551,,
3835,669577,,
3794,669602,,
3758,669628,,
3832,669652,,
3804,669682,,
3777,669708,,
